序号,一级分类,二级分类,产品名称,规格名称,计量单位
1,新鲜蔬果,叶菜类,大青菜,斤,斤
2,厨房用品,洗涤用品,一次性中高厨师帽,50个/包,包
3,水产冻货,冻鸡鸭,冻鸡翅根约10kg（中）,约150个/大/件,件
4,水产冻货,冻鸡鸭,冻鸡翅根约10kg（中）,约180个/中/件,件
5,水产冻货,冻鸡鸭,冻鸡翅根约10kg（中）,约18个/中/包,包
6,厨房用品,洗涤用品,一次性发网帽子,70/包,包
7,厨房用品,日用品,散装餐巾纸,14斤/包,包
8,厨房用品,洗涤用品,扫把,把,把
9,调料干货,调味酱,郫县豆瓣酱,约6kg/件,件
10,厨房用品,洗涤用品,一次性口罩,50个/包,包
11,厨房用品,厨用刀具,竹筷子,50双/包,包
12,水产冻货,冻海鲜水产,黑鱼片,2.5kg*4/件,件
13,水产冻货,冻海鲜水产,黑鱼片,2.5kg/包,包
14,水产冻货,半成品,过油猪大排,1.6kg*4/件（约80片）,件
15,水产冻货,半成品,过油猪大排,1.6kg/包（约20片）,包
16,厨房用品,厨用刀具,两头刨皮刀,把,把
17,厨房用品,洗涤用品,平拖把（60cm）,把,把
18,调料干货,干货,香辣酥,400g/包,包
19,厨房用品,洗涤用品,百洁布,6m/卷,卷
20,调料干货,调味粉,天目湖鸡精,2kg/袋,袋
21,调料干货,干货,干面藕面筋,约9斤/包,包
22,调料干货,香辛料,红曲米,斤,斤
23,调料干货,粉面类,正亮红薯粉条,5kg/包,包
24,调料干货,粉面类,正亮红薯粉条,斤,斤
25,调料干货,调味酱,腐乳,红5斤/桶,桶
26,调料干货,调味酱,腐乳,黄5斤/桶,桶
27,调料干货,调味汁,天目湖黄酒,335ml*40/件,件
28,调料干货,调味汁,天目湖黄酒,335ml/包,包
29,水产冻货,半成品,安井玉米肠,1.5kg*8/件,件
30,水产冻货,半成品,安井玉米肠,1.5kg/包,包
31,厨房用品,洗涤用品,地刷,把,把
32,水产冻货,半成品,安井猪肉荠菜馄饨,16包/箱,箱
33,水产冻货,半成品,安井猪肉荠菜馄饨,500g/包,包
34,调料干货,香辛料,陈皮,斤,斤
35,调料干货,调味酱,芝麻酱（6斤）,桶,桶
36,水产冻货,半成品,安井夹心仿蟹排,2.5kg*4包/箱,箱
37,水产冻货,半成品,安井夹心仿蟹排,包,包
38,厨房用品,厨用刀具,一次性筷子（优）,约50双*20/件,件
39,厨房用品,厨用刀具,一次性筷子（优）,约50双/包,包
40,厨房用品,洗涤用品,百洁布,包,包
41,水产冻货,半成品,安井撒尿牛丸,4包/箱,箱
42,水产冻货,半成品,安井撒尿牛丸,2.5kg/包,包
43,厨房用品,厨用刀具,短点火枪,把,把
44,调料干货,干货,云丝,约4kg/箱,箱
45,调料干货,干货,云丝,约8kg/箱,箱
46,米油杂粮,米类,常州香米,25kg/包,包
47,调料干货,调味汁,四川红油,2.5L/桶,桶
48,水产冻货,半成品,安井开花肠,1.5kg*4/件,件
49,水产冻货,半成品,安井开花肠,1.5kg/包,包
50,调料干货,调味粉,味好美胡椒粉,500g/袋,袋
51,调料干货,粉面类,干面条(细）,800g*15/包,包
52,调料干货,粉面类,干面条(细）,800g/卷,卷
53,厨房用品,日用品,打包袋,25（普通） 600个/捆,捆
54,厨房用品,日用品,打包袋,3698（普通） 400个/捆,捆
55,厨房用品,日用品,打包袋,38（普通） 600个/捆,捆
56,厨房用品,日用品,打包袋,48（普通） 400个/捆,捆
57,厨房用品,日用品,打包袋,58（普通）400个/捆,捆
58,调料干货,香辛料,小茴香,斤,斤
59,豆品蛋类,蛋类,咸鸭蛋,60g*100个/件,件
60,豆品蛋类,蛋类,咸鸭蛋,60g/个,个
61,厨房用品,厨用刀具,一次性饭盒,800个/箱,箱
62,厨房用品,洗涤用品,垃圾桶,个,个
63,调料干货,调味粉,炸鸡裹粉,5kg/袋,袋
64,调料干货,调味粉,太太乐鸡精,1.2kg*8包/件,件
65,调料干货,调味粉,太太乐鸡精,1.2kg/包,包
66,米油杂粮,米类,香香米,25kg/包,包
67,豆品蛋类,包点,手工水饺,2.5kg*4包/件,件
